,0,category,2cat
883,SET OF 3 BIRD LIGHT PINK FEATHER ,This product would be classified as Lighting.,"['product', 'Lighting']"
884,PINK/WHITE CHRISTMAS TREE 60CM,"This product falls under the category of ""Decor"", specifically for Christmas decorations.","['Christmas', 'decorations']"
885,PINK AND WHITE CHRISTMAS TREE 120CM,This product falls under the category of Decor.,Decor
886,PINK CHRISTMAS FLOCK DROPLET ,"This product would likely fall under the ""Decor"" category, specifically under Christmas Decorations.","['Christmas', 'Decorations']"
887,"ACRYLIC JEWEL ICICLE, PINK",This product falls under the category of Decor.,Decor
888,SMALLFOLKART BAUBLE CHRISTMAS DEC,"This product falls into the category of Decor, specifically in the subcategory of Christmas decorations.","['Christmas', 'decorations']"
889,FOLKART ZINC HEART CHRISTMAS DEC,"This product can be classified under the category of ""Decor"" as it appears to be a Christmas decoration featuring a zinc heart design.","['heart', 'design']"
890,ROSE FOLKART HEART DECORATIONS,"This product falls under the ""Decor"" category.",Decor
891,CERAMIC CAKE STAND + HANGING CAKES,This product belongs to the category of Decor.,Decor
892,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,This product would likely fall under the category of Kitchen or Dining/Home Accessories.,"['Dining/Home', 'Accessories']"
893,TEA TIME OVEN GLOVE,"This product belongs to the ""Kitchen & Dining"" category, specifically under the subcategory of ""Cookware & Bakeware.""","['Cookware', 'Bakeware']"
894,SCOTTIES CHILDRENS APRON,"This product would belong in the category of ""Kitchen & Dining"" or ""Children's Accessories.""","['Children', 'Accessories']"
895,PINK FAIRY CAKE CHILDRENS APRON,"This product falls under the category of ""Kitchen & Dining"" or ""Children's Accessories"".","['Children', 'Accessories']"
896,SCOTTIE DOGS BABY BIB,This product falls under the category of Baby & Kids Accessories.,"['Kids', 'Accessories']"
897,DOORMAT WELCOME PUPPIES,This product belongs to the category 'Decor.',product
898,HANGING JAM JAR T-LIGHT HOLDER,This product can be classified under the category of Decor.,Decor
899,SET OF 6 HALLOWEEN GHOST T-LIGHTS,Category: Lighting,Lighting
900,IVORY PILLAR CANDLE SILVER FLOCK,This product belongs to the category of Lighting.,Lighting
901,IVORY PILLAR CANDLE GOLD FLOCK,"This product falls under the category of Lighting, specifically as a decorative candle.","['Lighting', 'candle']"
902,SET/3 ROSE CANDLE IN JEWELLED BOX,This product falls under the category of Decor as it includes candles in a jeweled box.,"['candles', 'box']"
903,SET/3 OCEAN SCENT CANDLE JEWEL BOX,"This product falls under the category of Lighting, specifically candles.","['Lighting', 'candles']"
904,SET/3 VANILLA SCENTED CANDLE IN BOX,"This product falls under the category of ""Home Decor"" specifically under ""Scented Candles"".","['Decor', 'Candles']"
905,SET/3 CHRISTMAS DECOUPAGE CANDLES,This product falls into the category of Decor.,Decor
906,"TUMBLER, BAROQUE",This product falls under the category of Drinkware.,Drinkware
907,"TUMBLER, NEW ENGLAND",Drinkware,Drinkware
908,LAUNDRY 15C METAL SIGN,This product belongs to the Decor category.,Decor
909,HOT BATHS METAL SIGN,This product can be classified under Decor.,"['product', 'Decor']"
910,"METAL SIGN,CUPCAKE SINGLE HOOK",Decor,Decor
911,METAL SIGN CUPCAKE SINGLE HOOK,This product can be classified under the category of Decor.,Decor
912,CHARLIE+LOLA RED HOT WATER BOTTLE ,"This product falls under the ""Wellness"" category.",Wellness
913,CHARLIE LOLA BLUE HOT WATER BOTTLE ,"This product belongs to the ""Wellness"" category.",Wellness
914,CHARLIE+LOLA PINK HOT WATER BOTTLE,Wellness,Wellness
915,PINK/PURPLE RETRO RADIO,This product belongs to the category of Electronics or Retro Decor.,"['Retro', 'Decor']"
916,CHERRY BLOSSOM  DECORATIVE FLASK,This product falls under the category of Drinkware.,Drinkware
917,SET OF 12  VINTAGE POSTCARD SET,"This product belongs to the ""Stationery"" category.",Stationery
918,SET OF 6 VINTAGE NOTELETS KIT,This product falls under the category of Stationery.,Stationery
919,ENVELOPE 50 ROMANTIC IMAGES,This product would likely fall under the category of 'Stationery'.,'Stationery
920,ENVELOPE 50 BLOSSOM IMAGES,This product falls under the category of Stationery.,Stationery
921,YULETIDE IMAGES GIFT WRAP SET,This product falls under the category of Stationery.,Stationery
922,SET/4 RED MINI ROSE CANDLE IN BOWL,"This product falls under the category of ""Decor.""",Decor
923,15CM CHRISTMAS GLASS BALL 20 LIGHTS,"This product belongs to the ""Lighting"" category.",Lighting
924,CREAM SWEETHEART LETTER RACK,This product falls under the category of Stationery.,Stationery
925,SMALL SQUARE CUT GLASS CANDLESTICK,"This product can be classified under the category of Decor, specifically under the subcategory of Lighting.","['subcategory', 'Lighting']"
926,BEADED CRYSTAL HEART PINK SMALL,This product falls under the Decor category.,Decor
927,BEADED CRYSTAL HEART GREEN ON STICK,This product can be classified under the category of Decor.,Decor
928,CHARLIE + LOLA BISCUITS TINS,"This product falls under the category of ""Food & Beverages"", specifically in the ""Bakery"" subcategory.","['Bakery', 'subcategory']"
929,RED DRAGONFLY HELICOPTER,"This product appears to be a toy or model helicopter and would likely fall under the ""Toys & Games"" category.",Games
930,SEWING SUSAN 21 NEEDLE SET,This product would fall under the category of Crafting or Sewing Supplies.,"['Crafting', 'Supplies']"
931,BASKET OF FLOWERS SEWING KIT,This product can be classified into the category of Crafts or Sewing & Needlework.,"['Sewing', 'Needlework']"
932,VICTORIAN SEWING KIT,This product falls into the category of Crafts or Sewing Supplies.,"['Crafts', 'Supplies']"
933,EASTER BUNNY GARLAND OF FLOWERS,"This product can be classified under the ""Decor"" category.",Decor
934,SET OF 3 BABUSHKA STACKING TINS,This product belongs to the category of Decor.,Decor
935,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,"This product falls into the ""Accessories"" category.",Accessories
936,SILVER M.O.P ORBIT DROP EARRINGS,This product falls under the category of Jewelry.,Jewelry
937,EDWARDIAN DROP EARRINGS JET BLACK,"This product belongs to the ""Jewelry"" category.",Jewelry
938,RUBY GLASS CLUSTER EARRINGS,"This product belongs to the ""Jewelry"" category.",Jewelry
939,NECKLACE+BRACELET SET BLUE HIBISCUS,This product falls under the category of Jewelry.,Jewelry
940,FRUIT SALAD BAG CHARM,This product falls under the category of Accessories.,Accessories
941,GREEN MURANO TWIST BRACELET,This product falls under the category of 'Jewelry'.,'Jewelry
942,PINK GLASS TASSLE BAG CHARM ,This product can be classified under the category of Decor.,Decor
943,TURQUOISE GLASS TASSLE BAG CHARM ,This product falls under the category of Decor.,Decor
944,ANT COPPER RED BOUDICCA BRACELET,This product would likely fall under the category of Jewelry.,Jewelry
945,SILVER/AMETHYST DROP EARRINGS LEAF,This product would be classified under the category of Jewelry.,Jewelry
946,SILVER LARIAT BLACK STONE EARRINGS,This product falls under the category of Jewelry.,Jewelry
947,GREEN ENAMEL+GLASS HAIR COMB,This product falls under the category of Wellness.,Wellness
948,"LETTER ""D"" BLING KEY RING",This product falls into the Stationery category.,Stationery
949,"LETTER ""G"" BLING KEY RING",This product falls under the category of Stationery or Fashion Accessories.,"['Fashion', 'Accessories']"
950,"LETTER ""H"" BLING KEY RING",This product falls under the category of Decor.,Decor
951,"LETTER ""J"" BLING KEY RING",This product falls under the category of Stationery.,Stationery
952,"LETTER ""R"" BLING KEY RING","This product would fall under the category of ""Accessories"" or ""Personalized Items.""","['Accessories', 'Items']"
953,DOTCOM POSTAGE,This product falls under the category of 'Stationery'.,'Stationery
954,FAIRY CAKE NOTEBOOK A5 SIZE,This product falls into the category of Stationery.,Stationery
955,FAIRY CAKES NOTEBOOK A6 SIZE,This product falls into the category of Stationery.,Stationery
956,ENGLISH ROSE NOTEBOOK A7 SIZE,This product can be classified as 'Stationery'.,"['product', ""'Stationery""]"
957,FAIRY CAKES NOTEBOOK A7 SIZE,This product would fall under the Stationery category.,Stationery
958,MOUSE TOY WITH PINK T-SHIRT,"This product can be classified into the category of ""Pet Supplies"" or ""Toys & Accessories"".","['Toys', 'Accessories']"
959,DOG TOY WITH PINK CROCHET SKIRT,This product can be classified in the category of Pet Supplies.,"['Pet', 'Supplies']"
960,BOYS ALPHABET IRON ON PATCHES,This product belongs in the category of Stationery.,Stationery
961,GREEN ROSE WASHBAG,This product falls under the category of **Personal Care**.,"['*', '*']"
962,SOFT PINK ROSE TOWEL ,"This product belongs to the ""Home & Decor"" category, specifically under ""Bed & Bath Linens.""","['Bath', 'Linens']"
963,MINT GREEN ROSE TOWEL,"This product belongs to the ""Home & Decor"" category.",Decor
964,PINK BUTTERFLY HANDBAG W BOBBLES,"This product can be classified under the category of ""Fashion Accessories"" or more specifically as ""Handbags.""","['Accessories', 'Handbags']"
965,ANTIQUE SILVER TEA GLASS ETCHED,"This product falls under the ""Drinkware"" category.",Drinkware
966,SET OF 72 PINK HEART PAPER DOILIES,"This product belongs to the ""Decor"" category.",Decor
967,DENIM PATCH PURSE PINK BUTTERFLY,This product falls under the category of Fashion or Accessories.,"['Fashion', 'Accessories']"
968,BLUE PATCH PURSE PINK HEART,This product would most likely fall under the category of Fashion or Accessories.,"['Fashion', 'Accessories']"
969,RED SPOTTY BISCUIT TIN,"This product would fall under the category of ""Home Decor"".","['Home', 'Decor']"
970,VINTAGE CREAM CAT FOOD CONTAINER,"This product belongs to the ""Home & Kitchen"" category under the subcategory of ""Storage & Organization,"" specifically under the category of ""Pet Food Storage.""","['Food', 'Storage']"
971,ASSTD DESIGN RACING CAR PEN,"This product belongs to the ""Stationery"" category.",Stationery
972,KITTY PENCIL ERASERS,This product falls under the category of Stationery.,Stationery
973,BROCADE RING PURSE ,This product would likely fall into the category of Accessories or Handbags.,"['Accessories', 'Handbags']"
974,ORIGAMI SANDLEWOOD INCENSE+FLOWER,This product can be classified under the Wellness category.,Wellness
975,ORIGAMI VANILLA INCENSE/CANDLE SET ,This product belongs to the Wellness category.,Wellness
976,ORIGAMI JASMINE INCENSE/CANDLE SET,This product belongs to the category of Wellness as it includes incense and candles which are commonly used for relaxation and creating a soothing atmosphere.,"['soothing', 'atmosphere']"
977,ORIGAMI LAVENDER INCENSE/CANDL SET ,This product belongs to the category of 'Wellness' as it includes lavender incense and candles which are commonly used for relaxation and creating a calming atmosphere.,"['calming', 'atmosphere']"
978,ORIGAMI ROSE INCENSE/CANDLE SET ,"This product can be classified under the category of Wellness, specifically within the subcategory of Aromatherapy or Home Fragrance.","['Home', 'Fragrance']"
979,ORIGAMI OPIUM INCENSE/CANDLE SET ,This product falls under the category of Wellness.,Wellness
980,ORIGAMI SANDLEWOOD INCENSE/CAND SET,"This product can be classified as a Wellness item, specifically under Home Fragrance or Aromatherapy.","['Fragrance', 'Aromatherapy']"
981,BLUE GLASS GEMS IN BAG,This product falls under the category of Decor.,Decor
982,PORCELAIN BUTTERFLY OIL BURNER,"This product falls under the category of Home Decor, specifically in the subcategory of Aromatherapy or Home Fragrance.","['Home', 'Fragrance']"
983,VIPPASSPORT COVER ,This product can be classified as Stationery.,"['product', 'Stationery']"
984,RED RETROSPOT LUGGAGE TAG,"This product can be classified under the ""Travel Accessories"" category.",Accessories
985,FIRST CLASS HOLIDAY PURSE ,This product falls under the category of Apparel & Accessories.,"['Apparel', 'Accessories']"
986,RED RETROSPOT BOWL,This product belongs to the Decor category.,Decor
987,STRAWBERRY DREAM CHILDS UMBRELLA,"This product falls under the category of ""Children's Accessories"".","['Children', 'Accessories']"
988,WOODLAND CHARLOTTE BAG,This product is likely under the category of Bag or Fashion Accessories.,"['Fashion', 'Accessories']"
989,RED RETROSPOT CHARLOTTE BAG,"This product falls under the category of ""Fashion & Accessories"".","['Fashion', 'Accessories']"
990,GOLD MINI TAPE MEASURE ,This product falls into the category of Stationery.,Stationery
991,BLACK MINI TAPE MEASURE ,This product falls under the category of Stationery.,Stationery
992,ABSTRACT CIRCLE JOURNAL ,This product would be classified under the category of Stationery.,Stationery
993,FRENCH LATTICE CUSHION COVER ,Decor,Decor
994,FRENCH PAISLEY CUSHION COVER ,This product can be classified as Decor.,"['product', 'Decor']"
995,FRENCH FLORAL CUSHION COVER ,This product falls under the category of Decor.,Decor
996,PORCELAIN T-LIGHT HOLDERS ASSORTED,"This product belongs to the ""Decor"" category.",Decor
997,RED FLORAL FELTCRAFT SHOULDER BAG,This product falls under the category of Fashion or Accessories.,"['Fashion', 'Accessories']"
998,PINK BLUE FELT CRAFT TRINKET BOX,Decor,Decor
999,12 PENCILS SMALL TUBE RED RETROSPOT,"This product belongs to the ""Stationery"" category.",Stationery
1000,12 PENCILS TALL TUBE WOODLAND,This product falls under the category of Stationery.,Stationery
1001,JAZZ HEARTS ADDRESS BOOK,Stationery,Stationery
1002,ROSE DU SUD COSMETICS BAG,This product belongs in the category of Wellness.,Wellness
1003,ANTIQUE ALL GLASS CANDLESTICK,This product belongs to the Decor category.,Decor
1004,VINTAGE BILLBOARD TEA MUG,This product would fall under the category of Drinkware.,Drinkware
1005,VINTAGE BILLBOARD MUG ,"This product falls under the category of ""Drinkware"".",Drinkware
1006,JINGLE BELLS TREE DECORATION,This product falls under the category of Decor.,Decor
1007,MOODY GIRL DOOR HANGER ,This product falls under the category of Decor.,Decor
1008,BEWARE OF THE CAT METAL SIGN ,"This product falls under the category of ""Decor.""",Decor
1009,POTTERING IN THE SHED METAL SIGN,Decor,Decor
1010,WHITE HONEYCOMB PAPER GARLAND ,This product belongs to the Decor category.,Decor
1011,LARGE WHITE HONEYCOMB PAPER BELL  ,This product belongs to the category of Decor.,Decor
1012,PINK  HONEYCOMB PAPER BALL ,This product falls under the category of Decor.,Decor
1013,SKULL AND CROSSBONES  GARLAND ,Decor,Decor
1014,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",This product falls under the category of Drinkware.,Drinkware
1015,RED RETROSPOT ROUND CAKE TINS,This product can be classified under the category of Kitchen or Baking.,"['Kitchen', 'Baking']"
1016,SWEETHEART CERAMIC TRINKET BOX,This product falls under the category of Decor.,Decor
1017,RED RETROSPOT CUP,This product can be classified as Drinkware.,"['product', 'Drinkware']"
1018,WOODLAND  HEIGHT CHART STICKERS ,This product falls under the category of Decor.,Decor
1019,WHITE GOOSE FEATHER CHRISTMAS TREE ,This product falls under the category of Holiday Decor.,"['Holiday', 'Decor']"
1020,GLASS HEART T-LIGHT HOLDER ,Decor,Decor
1021,IVY HEART WREATH,Decor,Decor
